idx	X	Y	component
0	1000.343184128757	2278.002262040411	0
1	1002.327198610587	2279.46001684533	0
2	1002.327184129783	2279.460019462148	0
3	1003.757904165363	2285.487863458162	0
4	1003.754594080563	2285.486789994313	0
5	1003.410129777672	2286.435311521416	0
6	1003.7572344883	2285.488670369426	0
7	1003.416659842801	2286.440829672008	0
8	1003.416534888126	2286.440899271782	0
9	1002.445433950669	2292.544432669088	0
10	1002.445510789267	2292.544163096351	0
11	1001.747120189472	2295.540872555529	0
12	1001.747144480824	2295.541026045852	0
13	1000.019809250195	2303.864413345822	0
14	1000	2303.802336930856	0
15	1000.016756306158	2303.927054177898	0
16	1000.012338611857	2303.877157547867	0
17	1001.456499798619	2306.854446071912	0
18	1001.454028682509	2306.852644779542	0
19	1001.591988129554	2307.866351653643	0
20	1001.455836525055	2306.854435296797	0
21	1001.591549869134	2307.863481691773	0
22	1001.592060728264	2307.866486497152	0
23	1013.763319635283	2329.479005166242	0
24	1013.759928135768	2329.478431932314	0
25	1014.293592305294	2331.459882445857	0
26	1013.761499973275	2329.478510456661	0
27	1014.294870327446	2331.460377133076	0
28	1014.296966449094	2331.462040347759	0
29	1017.158707960322	2336.891573361654	0
30	1017.154926589677	2336.889992952003	0
31	1017.510935474225	2337.850524854774	0
32	1017.157403382919	2336.890896993408	0
33	1017.520249512825	2337.851758507131	0
34	1017.156882910644	2336.891212601517	0
35	1017.514748130321	2337.851344175459	0
36	1017.513949913542	2337.852525488213	0
37	1045.1484502049	2374.947507218135	0
38	1045.148761094165	2374.947459312642	0
39	1045.632085514845	2375.843342634031	0
40	1045.149516153547	2374.947945141836	0
41	1045.632709243288	2375.843163719265	0
42	1045.631811898505	2375.84317837834	0
43	1046.153804688262	2376.714538365386	0
44	1046.155883930835	2376.715474603509	0
45	1046.599456112311	2377.642743536285	0
46	1046.158910179613	2376.719048918587	0
47	1046.599481471814	2377.642065753254	0
48	1046.601162244837	2377.642960386464	0
49	1059.388933858227	2393.756574134173	0
50	1059.389678076244	2393.756586764748	0
51	1059.91902608987	2394.639952266305	0
52	1059.389333451982	2393.756674847718	0
53	1059.916744412488	2394.64011152413	0
54	1059.917256473456	2394.640442375964	0
55	1061.229208133264	2397.395362002635	0
56	1061.229329574612	2397.395627937914	0
57	1061.4712482492	2398.40345571415	0
58	1061.479720087749	2398.403843736915	0
59	1062.082436565527	2399.246153249341	0
60	1061.229596291114	2397.395452821418	0
61	1061.472137092905	2398.403760989896	0
62	1061.471930969441	2398.404083551393	0
63	1062.082534778633	2399.246146788807	0
64	1062.080777695694	2399.24527868335	0
65	1094.597858377794	2428.004076876003	0
66	1094.597957518313	2428.004184672407	0
67	1095.162331433646	2428.870482363479	0
68	1094.597963871611	2428.004309777135	0
69	1095.158920516325	2428.869927306104	0
70	1095.162788311374	2428.870784183696	0
71	1101.961804108764	2437.986051259476	0
72	1101.961895447115	2437.986125352262	0
73	1102.42664698619	2438.904883818253	0
74	1102.418980629064	2438.903053479807	0
75	1103.13626728894	2439.671632003471	0
76	1101.959539036733	2437.985401007339	0
77	1102.432482599335	2438.90568862068	0
78	1102.42736710886	2438.905462669954	0
79	1103.145867676071	2439.673291629267	0
80	1103.145420552985	2439.672770640035	0
81	1116.589350187512	2449.415329850853	0
82	1116.593386452823	2449.415129639761	0
83	1117.345257002344	2450.093094180053	0
84	1116.588080413041	2449.414906212731	0
85	1117.340392401005	2450.092943378383	0
86	1117.34423459698	2450.09390791713	0
87	1123.621546393363	2456.901962633529	0
88	1123.620383453274	2456.901652841341	0
89	1124.371185656941	2457.609007738978	0
90	1123.621645565733	2456.902065987267	0
91	1124.381359711961	2457.611478102259	0
92	1124.381475521464	2457.611529011034	0
93	1139.75051239536	2471.174113724633	0
94	1139.750048895065	2471.173664871301	0
95	1140.375642664925	2472.019977669379	0
96	1139.750643575977	2471.174157442267	0
97	1140.376510747965	2472.020259860257	0
98	1140.375378756354	2472.019879306907	0
99	1146.666769956329	2477.358916965761	0
100	1146.666207626947	2477.358429966999	0
101	1147.114540110807	2478.278966044189	0
102	1146.669350142539	2477.360618729481	0
103	1147.113350511503	2478.27810842208	0
104	1147.114497850713	2478.278971654611	0
105	1167.862740753446	2493.683285874811	0
106	1167.868577301267	2493.685243385043	0
107	1168.376483640362	2494.591216015948	0
108	1167.865175476179	2493.684155001346	0
109	1168.373357651973	2494.589475299139	0
110	1168.376562059771	2494.590740192677	0
111	1174.984102675034	2502.506742882831	0
112	1174.98132763179	2502.505676113915	0
113	1175.565509146892	2503.358280806026	0
114	1174.981429279323	2502.506551384016	0
