idx	X	Y	component
0	1000	1756.533341634601	0
1	1001.598583573335	1755.325289741231	0
2	1001.598583490757	1755.325289765915	0
3	1044.534506918983	1743.392190253317	0
4	1044.5344721363	1743.392218209309	0
5	1046.0050031798	1742.01997097864	0
6	1003.925740270834	1167.121430140149	0
7	1141.104704976027	1180.166294770989	0
8	1044.53017659366	1743.393682868251	0
9	1046.003509601518	1742.020540309562	0
10	1046.005332732724	1742.019975421446	0
11	1054.874242991975	1736.952925288247	0
12	1054.874138418107	1736.953072631645	0
13	1055.316386604736	1736.03565269012	0
14	1054.872485391043	1736.953963889032	0
15	1055.315863913233	1736.035694529555	0
16	1055.315476994236	1736.03573732272	0
17	1064.615184751858	1729.719284317321	0
18	1064.616558796188	1729.718865506938	0
19	1065.187019994321	1728.876921550394	0
20	1064.614641716862	1729.719600475611	0
21	1065.184542955652	1728.87790954014	0
22	1065.187684828748	1728.876860309917	0
23	1072.915774693429	1722.200967818934	0
24	1072.916991946129	1722.200641899359	0
25	1073.806530009981	1721.681875035646	0
26	1072.914831246535	1722.201416087827	0
27	1073.805040055982	1721.682310314805	0
28	1073.805045522229	1721.682305821018	0
29	1108.157557114284	1701.742318944249	0
30	1108.157343247291	1701.742293290785	0
31	1108.992998784659	1701.139176280458	0
32	1108.157611177619	1701.742295786719	0
33	1108.99315280219	1701.139466164371	0
34	1108.992965669882	1701.13919805137	0
35	1118.348007101984	1696.608257756903	0
36	1094.905538859482	1000	0
37	1859.564502663712	1085.513714913856	0
38	1118.349012834162	1696.607848992626	0
39	1119.143041468576	1695.911531832868	0
40	1118.349312534647	1696.607432259726	0
41	1119.145156579239	1695.910862841	0
42	1119.145690413779	1695.910291507138	0
43	1121.247528992071	1694.766614664695	0
44	1121.247528991082	1694.766614664828	0
45	1121.308503456599	1694.746828299194	0
46	1121.308036791583	1694.747620738364	0
47	1125.596227696225	1693.307476480623	0
48	1125.593912118935	1693.308461799978	0
49	1126.602229292732	1693.463113227075	0
50	1125.595240086281	1693.307659346881	0
51	1126.606946886983	1693.460724580354	0
52	1126.602400203928	1693.463012696734	0
53	1138.933204680388	1693.055766801458	0
54	1138.936149371399	1693.054728217005	0
55	1140.969411739561	1693.487721766164	0
56	1138.934241332223	1693.05561250501	0
57	1140.967152320383	1693.488910297108	0
58	1140.96794437244	1693.488130091653	0
59	1184.598433931526	1683.837933392168	0
60	1141.104699574942	1180.166066760446	0
61	1676.235586066363	1126.965449828341	0
62	1184.598485516364	1683.837923473067	0
63	1185.605559288544	1683.757130897881	0
64	1184.596467511008	1683.838353093452	0
65	1185.605077532708	1683.757362530614	0
66	1185.605114717584	1683.75734855121	0
67	1235.117857035513	1667.69306499437	0
68	1235.117953567531	1667.693130801674	0
69	1236.149258943926	1667.700564508626	0
70	1235.117005013384	1667.693253147703	0
71	1236.148862061409	1667.700733723402	0
72	1236.148873919245	1667.700714857568	0
73	1240.23711023097	1667.815409618671	0
74	1240.237647860362	1667.815276531937	0
75	1241.260675569552	1667.939661909283	0
76	1240.235428563466	1667.816072450702	0
77	1241.255869904389	1667.941542469382	0
