idx	X	Y	component
0	1000.172843713584	4964.823448589314	0
1	1000.019441208142	4963.479028425127	0
2	1000	4963.527471888463	0
3	1000.020333136361	4963.459422184782	0
4	1000.018866608314	4963.479308211365	0
5	1000.893164521946	4962.682022647336	0
6	1000.885278814591	4962.694184291267	0
7	1004.981218394259	4953.309869432993	0
8	1004.981075179232	4953.309805555919	0
9	1005.121038622574	4952.304471496789	0
10	1004.980888149887	4953.309704333206	0
11	1005.121466491932	4952.304466323733	0
12	1005.121442833152	4952.303882916506	0
13	1023.115246846578	4924.026516580518	0
14	1023.116885666281	4924.025983645422	0
15	1024.351800358772	4922.411396432793	0
16	1024.354393229183	4922.409323736533	0
17	1024.691985015838	4921.441107643937	0
18	1023.117042025839	4924.026318988637	0
19	1024.351668358979	4922.411759802078	0
20	1024.351508169876	4922.411941927873	0
21	1024.692640582195	4921.441240364962	0
22	1024.691985014841	4921.441107644001	0
23	1026.410398426799	4917.758267301659	0
24	1026.413251386552	4917.757113114028	0
25	1026.666899229604	4916.776279904221	0
26	1026.411507370225	4917.758614753443	0
27	1026.666492958298	4916.776995203796	0
28	1026.6673369946	4916.775472315598	0
29	1027.218610636269	4914.813503573992	0
30	1026.664205196318	4916.778039915665	0
31	1027.219494609525	4914.813383244318	0
32	1027.218677655176	4914.813539291788	0
33	1028.036546427537	4912.925952685933	0
34	1028.035099542864	4912.926502305227	0
35	1028.507805151322	4912.022856743301	0
36	1028.034580815953	4912.926697559984	0
37	1028.505965593158	4912.024073594467	0
38	1028.508166960354	4912.022334302463	0
39	1034.291419831393	4903.562659036423	0
40	1034.289505614559	4903.563144035348	0
41	1034.870720132035	4902.727867721501	0
42	1034.870708908129	4902.727399827585	0
43	1035.514240325217	4901.92399502993	0
44	1034.290267760566	4903.563345555518	0
45	1034.875488695263	4902.728826530169	0
46	1034.87361728798	4902.728170051927	0
47	1035.513775826445	4901.924639094864	0
48	1035.514043021843	4901.924289483895	0
49	1039.398022321514	4897.131211076602	0
50	1039.397839273673	4897.131321323252	0
51	1041.302970529172	4894.738068631846	0
52	1039.398491882768	4897.131164438259	0
53	1041.302049576365	4894.738524152525	0
54	1041.303021674654	4894.738195420917	0
55	1041.853869713234	4893.896176655421	0
56	1041.855577027855	4893.894211895898	0
57	1042.348530306179	4892.995581652602	0
58	1041.854114442794	4893.895609186347	0
59	1042.344903063993	4892.996172118806	0
