idx	X	Y	component
0	1000	1000.344173510752	0
1	2335.089342535658	1000.006210191428	0
2	2335.106142236759	1000.005788195873	0
3	2335.078722377404	1000	0
4	2335.089347261565	1000.006210204852	0
5	6250.082111891948	1010.682443621915	0
6	6250.079011107779	1010.678585215634	0
7	6250.108420833134	1010.715171950314	0
8	6250.108418435587	1010.71517195272	0
9	12066.89412081343	1006.766467617419	0
10	1000	2010.739803945119	1
11	1001.99962306544	2010.715171973365	1
12	1001.999604117915	2010.71517195272	1
13	5862.258481047564	2014.108655553614	1
14	5862.263216044461	2014.11023400832	1
15	5862.253645869827	2014.106728702605	1
16	5862.249676939704	2014.105723117331	1
17	12787.8502442807	2019.327232751626	1
18	12787.85025340548	2019.327232514328	1
19	12788.80948945687	2019.609438850818	1
20	12787.85026936108	2019.327233619667	1
21	12788.80950430567	2019.609437950029	1
22	12788.80947253635	2019.609439413654	1
23	14405.50417514601	2020.687905208021	1
24	14405.52948603213	2020.604686821988	1
25	14405.51357097995	2020.675050505054	1
26	14405.51417506201	2020.687911293678	1
27	14405.14123989613	2021.814981122785	1
28	1000	3021.814981122785	2
29	1122.299662011574	3069.308699174838	2
30	1122.299549702439	3069.30866586756	2
31	1640.649524671746	3048.791494418513	2
32	1640.649961999774	3048.791493259673	2
33	1640.626651299703	3048.848967777647	2
34	1640.644786324192	3048.803542244872	2
35	5598.792693562253	3051.341516445686	2
36	5598.792527742142	3051.341515684637	2
37	5956.188763438851	3103.218911519502	2
38	5598.796971052874	3051.341634446349	2
39	5956.193503450137	3103.218653888068	2
40	5956.193976625607	3103.21856550061	2
41	6712.162843479895	3056.550959235526	2
42	6712.16300758965	3056.550960003383	2
43	6881.851937718609	3053.700288666887	2
44	6712.175450670555	3056.550112035921	2
45	6881.819233682709	3053.701118349979	2
46	6881.851217029998	3053.700487602262	2
47	6948.63729114216	3023.178284820898	2
48	6948.641220903053	3023.179488536217	2
49	6948.705979340273	3023.183114123637	2
50	6948.696568633306	3023.182576561434	2
51	8686.231905919165	3026.376840460403	2
52	8686.232057482488	3026.376840733994	2
53	8686.916630477786	3027.105343014693	2
54	8686.232175936362	3026.376835271781	2
55	8686.916541050225	3027.105345347436	2
56	8686.916542629893	3027.105347027936	2
57	15439.49850040331	3055.002051609837	2
58	15439.48084956376	3055.005231942919	2
59	15439.49180683454	3055.004401858873	2
60	15439.49849768649	3055.002051598321	2
61	16688.60602178104	3045.864695221964	2
62	16688.6059873639	3045.864692436824	2
63	16685.6252545219	3045.645650315595	2
64	1000	4110.026138566712	3
65	1722.015229644196	4103.584008080245	3
66	1722.015224566574	4103.584008016082	3
67	1722.946243822822	4103.218911519501	3
68	1722.015227712298	4103.584008075703	3
69	1722.94624795494	4103.218911580965	3
70	1722.946244245664	4103.218911790991	3
71	6331.294739501107	4114.974976959869	3
72	6331.294688811329	4114.974977356516	3
73	6332.22308191756	4114.601497521841	3
74	6331.294800818985	4114.974975655067	3
75	6332.223088703264	4114.60149780467	3
76	6332.223085898368	4114.601498933521	3
77	6496.23247609906	4107.593125974538	3
78	6496.23239950971	4107.593128946091	3
79	6497.128281734855	4107.147252184815	3
80	6496.232716114697	4107.593129650943	3
81	6497.128316234892	4107.147250338562	3
82	6497.128286206913	4107.147251403487	3
83	6919.014024722106	4115.80313392278	3
84	6919.009141944211	4115.803207594619	3
85	6919.033924774369	4115.802816704315	3
86	6919.033885979392	4115.802816078266	3
87	7040.961745667322	4113.154132902295	3
88	7040.961426623362	4113.154119338248	3
89	7042.88424305353	4112.61549428634	3
90	7040.961693100377	4113.154127157553	3
91	7042.884252580785	4112.615496303877	3
92	7042.884261777974	4112.61549569336	3
93	7077.871714369605	4110.293173799984	3
94	7077.871719358664	4110.293173155394	3
95	7078.857555460687	4110.116700576345	3
96	7077.871763598225	4110.293176732332	3
97	7078.857584514328	4110.116699428449	3
98	7078.857561539262	4110.11669990128	3
99	7086.806479338404	4109.138621777795	3
100	7086.806443498426	4109.138623987973	3
101	7087.785975074687	4108.933701190375	3
102	7086.806676162792	4109.13861239023	3
103	7087.786017948616	4108.933700612172	3
104	7087.785917953326	4108.93370770451	3
105	8109.995014094573	4113.391254552873	3
106	8109.994976268121	4113.391254450116	3
107	8110.943309232178	4113.708540656129	3
108	8109.995004055716	4113.391254400573	3
109	8110.943341358252	4113.708540629586	3
110	8110.943344518222	4113.708540655092	3
111	10372.20602264912	4109.001518351427	3
112	10372.22626985817	4109.012376854426	3
113	10372.18525889364	4108.990377382244	3
114	10372.2060368468	4109.001518401316	3
115	11834.92292828837	4120.954806804891	3
116	11834.92291562288	4120.954806660669	3
117	11835.90892252662	4120.788008827031	3
118	11834.92292229151	4120.954806766791	3
119	11835.90892408936	4120.788008807082	3
120	11835.90892660712	4120.788008846323	3
121	14570.9676251345	4106.680604699762	3
122	14570.96762413879	4106.680604704133	3
123	14571.96590916589	4106.621880974253	3
124	14570.96762471999	4106.680604702603	3
125	14571.96590807642	4106.621880979894	3
126	14571.96590884767	4106.621880979167	3
127	15735.95379988963	4114.596627811516	3
