idx	X	Y	component
0	1197.841357099202	5484.442116845288	0
1	1197.007054553628	5483.57530076325	0
2	1197.01112264385	5483.584257900699	0
3	1197.005214806543	5483.57423549263	0
4	1197.006342703587	5483.57480081547	0
5	1197.223630658997	5482.487285301228	0
6	1197.22363689295	5482.487106443203	0
7	1198.571915511981	5472.407598266112	0
8	1198.571646431356	5472.407841832371	0
9	1199.07916506581	5471.528877481927	0
10	1198.572931832186	5472.406787637281	0
11	1199.079013803631	5471.528887491941	0
12	1199.079299551959	5471.528711570469	0
13	1213.247308241135	5441.377732954936	0
14	1213.247447235367	5441.377373676443	0
15	1213.834366424881	5439.442877116244	0
16	1213.835203718603	5439.442946830748	0
17	1214.223826522867	5438.508661605765	0
18	1213.24732685025	5441.377701059619	0
19	1213.831936161939	5439.444365975572	0
20	1213.831451006585	5439.444730571765	0
21	1214.224447877203	5438.508563195928	0
22	1214.223817132502	5438.50868194515	0
23	1217.168004704758	5434.341325996473	0
24	1217.168347376208	5434.340438784888	0
25	1217.844657385992	5432.429347258625	0
26	1217.168422766717	5434.340870536773	0
27	1217.844809137001	5432.42930004437	0
28	1217.844929965043	5432.429207511343	0
29	1218.500754209614	5430.511623060447	0
30	1218.500937486115	5430.511369496377	0
31	1219.067385609702	5429.664677561037	0
32	1218.500529957224	5430.512487287289	0
33	1219.066862708617	5429.666106290982	0
34	1219.066909394481	5429.6651276843	0
35	1223.864998493464	5420.667489253286	0
36	1223.865060281875	5420.667413702682	0
37	1224.192634551199	5419.706875525239	0
38	1224.192584152865	5419.706756177014	0
39	1224.331175528125	5418.690421579094	0
40	1223.865339975189	5420.667234601326	0
41	1224.191829200398	5419.707260670379	0
42	1224.191176908386	5419.707462657285	0
43	1224.331131415617	5418.690455373529	0
44	1224.331044927467	5418.690436164128	0
45	1227.244825477399	5413.299840121741	0
46	1000	5080.599733919735	0
47	1645.095171463233	4676.565828554041	0
48	1227.244801113893	5413.299882820693	0
49	1229.043676760776	5410.814498451327	0
50	1227.244312954896	5413.299822320387	0
51	1229.04590244801	5410.812316220758	0
52	1229.044412540332	5410.813993513244	0
53	1229.34111469088	5409.846745075278	0
54	1229.341080759596	5409.846754067425	0
55	1229.745335420107	5408.913347653986	0
56	1229.340540666632	5409.847422000337	0
57	1229.745600153148	5408.913730668584	0
58	1229.34115545143	5409.846877804426	0
59	1229.745730494585	5408.913375354644	0
60	1229.745277892727	5408.913297186878	0
61	1230.135788655038	5407.959967317788	0
62	1230.135795438511	5407.959940737402	0
63	1231.256547431384	5406.229702247735	0
64	1230.135939673701	5407.959792748346	0
65	1231.257543020268	5406.228208753225	0
66	1231.257303032267	5406.228904009138	0
67	1233.816186693511	5401.782336728164	0
68	1233.816427507182	5401.782272709993	0
69	1234.175003033321	5400.820473381447	0
70	1233.816586440304	5401.782363798356	0
71	1234.17455586178	5400.821112634642	0
72	1234.174919618144	5400.820662561253	0
73	1243.245247989205	5387.133057328075	0
74	1243.245025838674	5387.13286908015	0
75	1243.87189131489	5386.300395161172	0
76	1243.244399238618	5387.13382794338	0
77	1243.868296033133	5386.304892949196	0
78	1243.87184013063	5386.300509431328	0
79	1245.008321880501	5384.45807673633	0
80	1245.005082225525	5384.467568018932	0
81	1245.01817147668	5384.435864276971	0
82	1245.011101137029	5384.453104058772	0
83	1250.189957865407	5375.459930092124	0
84	1250.190175398956	5375.459816464491	0
85	1250.443740762922	5374.460313290987	0
86	1250.443952802456	5374.460588030189	0
87	1250.975032852002	5373.561466290086	0
88	1250.1904377507	5375.4593744711	0
89	1250.444449076535	5374.458729473221	0
90	1250.444449076333	5374.4587294742	0
91	1250.974543378595	5373.561882798565	0
92	1250.974318528998	5373.562254339419	0
93	1253.687745976067	5369.121563776764	0
94	1253.68749471821	5369.121785741987	0
95	1256.247969345855	5364.614921725395	0
96	1256.247203020149	5364.61707697424	0
97	1256.616977163641	5363.657905995056	0
98	1256.248368932977	5364.614538584226	0
99	1256.618769281942	5363.655693393296	0
100	1256.617713550919	5363.656807419738	0
101	1258.170411511147	5361.946648477711	0
102	1258.173124908148	5361.942351077361	0
103	1258.186870147969	5361.912402120353	0
104	1258.187295415878	5361.912726552267	0
105	1260.063692958642	5357.904622237973	0
106	1260.069599538208	5357.893309562471	0
107	1260.701084979657	5357.107278561773	0
108	1260.062502705287	5357.906474470547	0
109	1260.69925630638	5357.109136722214	0
110	1260.701280138422	5357.106977855226	0
111	1266.755826515938	5347.511383388533	0
112	1266.754184891195	5347.51273489405	0
113	1267.206628682443	5346.60500570041	0
114	1267.206746889702	5346.604828946405	0
115	1267.873485527328	5344.655579090167	0
116	1266.756323081958	5347.511038588298	0
117	1267.206308490602	5346.606681459794	0
