idx	X	Y	component
0	1000	2220.718351639328	0
1	1000.595594641505	2221.913353069527	0
2	1000.594864426137	2221.913214996075	0
3	1000.638255360526	2221.95254721203	0
4	1000.623037719885	2221.936451799983	0
5	1001.810666402434	2222.009286727973	0
6	1001.812274489022	2222.009390043642	0
7	1011.711009124418	2224.305760515847	0
8	1011.710585291238	2224.305586965217	0
9	1012.716482935243	2224.168038477975	0
10	1011.712308979315	2224.30588854929	0
11	1012.717799212653	2224.168083214109	0
12	1012.716979850736	2224.168089145265	0
13	1045.757804898573	2219.07223959012	0
14	1045.757850253874	2219.072220136519	0
15	1047.791145026866	2219.031151527629	0
16	1045.756645432251	2219.072347049982	0
17	1047.788010421983	2219.031563729214	0
18	1047.790166537164	2219.031087259483	0
19	1048.802525969792	2218.900196619894	0
20	1047.789965165151	2219.030704128881	0
21	1048.797570652037	2218.899502544493	0
22	1048.802623188634	2218.899995014523	0
23	1052.781227668249	2218.040110940502	0
24	1052.780866481093	2218.040237365526	0
25	1053.786058859995	2217.989866588425	0
26	1052.781261666752	2218.039196456582	0
27	1053.782766128932	2217.985581199825	0
28	1053.78581947235	2217.98993465696	0
29	1055.831045560191	2218.123382595555	0
30	1053.784613617297	2217.985561559675	0
31	1055.831470688729	2218.123477072458	0
32	1055.8313840152	2218.123476766973	0
33	1057.865954847462	2218.130584474719	0
34	1057.866083330627	2218.130667621096	0
35	1058.881141869274	2218.294510882574	0
36	1057.865088574751	2218.130719769343	0
37	1058.880107867299	2218.294547385025	0
38	1058.878842834427	2218.294171091126	0
39	1069.125715525955	2218.36102743155	0
40	1069.125791852794	2218.36099889262	0
41	1070.139947231844	2218.496299814642	0
42	1070.137711322924	2218.496990100856	0
43	1071.180201307538	2218.392682509313	0
44	1069.12571549156	2218.361027429963	0
45	1070.139572448475	2218.495723960977	0
46	1070.139613882728	2218.495715434136	0
47	1071.18569346545	2218.391811696608	0
48	1071.180963996726	2218.39179135244	0
49	1077.273687040436	2217.425261236488	0
50	1077.270327544512	2217.425299521962	0
51	1080.155776008576	2216.368961360168	0
52	1077.272075383778	2217.42534422788	0
53	1080.155654414782	2216.36895147337	0
54	1080.155516117944	2216.368761984082	0
55	1081.086403401869	2215.961812371672	0
56	1081.08551142034	2215.961999027515	0
57	1082.028878566708	2215.544850539033	0
58	1081.082664637631	2215.962288413692	0
59	1082.025840042534	2215.544849225119	0
